Model Selected,Discretizaion,Discretizaion Type,Number Of Bins,Normalization,Data Completed By,Max Tree Depth,Number Of Neighbors,Number Of Clusters,Majority,Accuracy,Recall,Precision,F1Score
Our Decision Tree,Yes,Equal-width,4,No,All Data,18,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,13.874345549738221,54.63917525773196,22.129436325678498
Sklearn NaiveBayes,Yes,Equal-width,4,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,Yes,Entropy Based,3,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,Yes,Entropy Based,4,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,Yes,Entropy Based,2,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
Sklearn NaiveBayes,No,None,None,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,89.00259035299702
KNN,No,None,None,Yes,Classification Column,Not Relevant,2,Not Relevant,52.276923076923076,67.13846153846154,67.13846153846154,71.09282246211896,64.88182433901628
KNN,No,None,None,Yes,Classification Column,Not Relevant,3,Not Relevant,52.276923076923076,71.6,71.6,72.63617432310603,71.01204326970125
KNN,No,None,None,Yes,Classification Column,Not Relevant,6,Not Relevant,52.276923076923076,70.0,70.0,72.11524338975353,68.86849761520317
KNN,Yes,Equal-width,4,Yes,Classification Column,Not Relevant,6,Not Relevant,52.276923076923076,70.0,70.0,72.11524338975353,68.86849761520317
KNN,Yes,Equal-width,4,No,All Data,Not Relevant,6,Not Relevant,52.276923076923076,70.0,70.0,72.11524338975353,68.86849761520317
Our Decision Tree,No,None,None,No,All Data,3,Not Relevant,Not Relevant,52.276923076923076,65.56923076923077,50.999355254674406,68.78260869565217,58.570899666790076
Sklearn Decision Tree,No,None,None,No,All Data,3,Not Relevant,Not Relevant,52.276923076923076,88.36923076923077,88.36923076923077,88.38123414332192,88.36041355361465
Sklearn Decision Tree,No,None,None,No,All Data,6,Not Relevant,Not Relevant,52.276923076923076,93.75384615384615,93.75384615384615,93.80517811048011,93.74627570174648
Sklearn Decision Tree,No,None,None,No,All Data,15,Not Relevant,Not Relevant,52.276923076923076,94.06153846153846,94.06153846153846,94.1065581407459,94.05494266400301
Our Decision Tree,No,None,None,No,All Data,6,Not Relevant,Not Relevant,52.276923076923076,65.56923076923077,50.999355254674406,68.78260869565217,58.570899666790076
Sklearn NaiveBayes,No,None,None,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.276923076923076,90.98461538461538,90.98461538461538,91.39437097577364,90.9384501492701
Our NaiveBayes,No,None,None,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.276923076923076,96.0,96.0,96.24083082948103,95.98773768249062
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,3,52.276923076923076,11.015384615384615,11.015384615384615,35.31420591715976,11.320464667876882
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,6,52.276923076923076,21.784615384615385,41.6715715126545,93.4734620138823,29.515200588884806
Sklearn NaiveBayes,Yes,Entropy Based,3,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.276923076923076,90.98461538461538,90.98461538461538,91.39437097577364,90.9384501492701
Our NaiveBayes,Yes,Entropy Based,3,No,All Data,Not Relevant,Not Relevant,Not Relevant,52.276923076923076,96.0,96.0,96.24083082948103,95.98773768249062
Our Decision Tree,Yes,Equal-width,4,No,All Data,15,Not Relevant,Not Relevant,52.276923076923076,65.56923076923077,50.999355254674406,68.78260869565217,58.570899666790076
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,3,52.276923076923076,11.015384615384615,11.015384615384615,35.31420591715976,11.320464667876882
K-Means,No,None,None,No,All Data,Not Relevant,Not Relevant,3,52.276923076923076,41.323076923076925,79.0464979399647,90.92794319526628,42.24302508562437
